,truth,pred
0,0.0,0.5910329818725586
1,0.0,0.5175392627716064
2,1.0,0.5988397002220154
3,1.0,0.6043225526809692
4,1.0,0.5323734879493713
5,1.0,0.47107112407684326
6,0.0,0.48023533821105957
7,0.0,0.402575820684433
8,1.0,0.5707516074180603
9,1.0,0.4411950409412384
10,0.0,0.5505236983299255
11,1.0,0.4219197928905487
12,0.0,0.4996241331100464
13,1.0,0.5682722330093384
14,1.0,0.7186615467071533
15,0.0,0.5227511525154114
16,1.0,0.4196028709411621
17,0.0,0.6118608713150024
18,0.0,0.5123339891433716
19,0.0,0.529083251953125
20,1.0,0.5493941903114319
21,0.0,0.5070246458053589
22,0.0,0.5816217660903931
23,1.0,0.5156264901161194
24,1.0,0.5820506811141968
25,1.0,0.36492663621902466
26,1.0,0.4804896414279938
27,0.0,0.5366280674934387
28,1.0,0.5262525081634521
29,0.0,0.5416038632392883
30,1.0,0.5369256734848022
31,1.0,0.576121985912323
32,1.0,0.5407006144523621
33,0.0,0.5368952751159668
34,1.0,0.5231332182884216
35,1.0,0.5507867336273193
36,0.0,0.31707876920700073
37,0.0,0.4476816654205322
38,0.0,0.494866281747818
39,1.0,0.6119001507759094
40,0.0,0.6039906740188599
41,1.0,0.659479022026062
42,0.0,0.45881152153015137
43,1.0,0.6630436182022095
44,1.0,0.48526594042778015
45,0.0,0.4118225872516632
46,1.0,0.43785786628723145
47,0.0,0.42877233028411865
48,0.0,0.41073399782180786
49,1.0,0.509284496307373
50,0.0,0.4518923759460449
51,0.0,0.563956081867218
52,0.0,0.5103710889816284
53,0.0,0.6673133969306946
54,0.0,0.43124112486839294
55,1.0,0.542083203792572
56,0.0,0.5964673161506653
57,0.0,0.5698773860931396
